sysname,chassis,source_ip,interface,lag,port,port_type,queue_group_port,address,isis,mpls,rsvp,slope-policy,egress-scheduler-policy,queue-policy,qos,queue-group
CULMTX-CUL011-CA,7750,10.190.0.100,To-CULIACAN-WAM,2,10/1/1,xgige,IPMEAN-QG:10G,10.190.34.86/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CA,7750,10.190.0.100,To-GTACLAPAZ-WA,,3/1/1,,,10.190.35.114/31,0,1,1,default,,,,
CULMTX-CUL011-CA,7750,10.190.0.100,To-MAGIST-GML120-GA,,10/1/4,xgige,IPMEAN-QG:10G,10.190.35.193/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CA,7750,10.190.0.100,system,,,,,10.190.0.100/32,,1,1,,,,,
CULMTX-CUL011-CB,7750,10.190.0.101,To-CULIACAN-CAM,1,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.1/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CB,7750,10.190.0.101,To-CULIACAN-EBM01,,10/2/4,xgige,IPMEAN-QG:10G,10.190.34.14/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CB,7750,10.190.0.101,To-CULIACAN-WAM,3,10/1/2,xgige,IPMEAN-QG:10G,10.190.34.92/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CB,7750,10.190.0.101,To-INDEPENDENCIA-GAM,4,1/2/1,xgige,IPMEAN-QG:10G,10.190.34.44/31,0,1,1,default,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULMTX-CUL011-CB,7750,10.190.0.101,system,,,,,10.190.0.101/32,,1,1,,,,,
DIAMAN-CUL008-GA,7750,10.190.0.102,To-CUL-R20-EB,4,1/1/1,xgige,IPMEAN-QG:10G,10.190.35.126/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
DIAMAN-CUL008-GA,7750,10.190.0.102,To-DIAMANTE-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.34.248/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
DIAMAN-CUL008-GA,7750,10.190.0.102,To-MXSINCUL0494RTBHCSRMOB03-S54,201,4/2/5,xgige,,10.239.195.83/31,10,1,1,default,,default,,
DIAMAN-CUL008-GA,7750,10.190.0.102,To-MXSINCUL0495RTBHCSRMOB01-S64,202,1/2/3,xgige,,10.239.195.91/31,10,1,1,default,,default,,
DIAMAN-CUL008-GA,7750,10.190.0.102,To-MXSINCUL0496RTBHCSRMOB01-S44,200,1/2/2,xgige,,10.239.195.63/31,10,1,1,default,,default,,
DIAMAN-CUL008-GA,7750,10.190.0.102,To-MXSINCUL0500RTBHCSRMOB01-S74,203,4/2/6,xgige,,10.239.195.92/31,10,1,1,default,,default,,
DIAMAN-CUL008-GA,7750,10.190.0.102,To-TVAZTECA-GAM,5,4/2/1,xgige,IPMEAN-QG:10G,10.190.34.33/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
DIAMAN-CUL008-GA,7750,10.190.0.102,system,,,,,10.190.0.102/32,,1,1,,,,,
TV_AZT-CUL003-GA,7750,10.190.0.103,To-DIAMANTE-GAM,5,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.32/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TV_AZT-CUL003-GA,7750,10.190.0.103,To-INDEPENDENCIA-GAM,2,2/1/1,xgige,IPMEAN-QG:10G,10.190.34.38/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TV_AZT-CUL003-GA,7750,10.190.0.103,To-MXSINCUL0477RTBHCSRMOB01-S44,,lag-201,,,10.239.195.50/31,10,1,1,,,,,
TV_AZT-CUL003-GA,7750,10.190.0.103,To-MXSINCUL0499RTBHCSRMOB01-S14,,lag-200,,,10.239.195.0/31,10,1,1,,,,,
TV_AZT-CUL003-GA,7750,10.190.0.103,To-MXTAMREY1276RTBHCSRMOB01-S54,,lag-202,,,10.239.195.66/31,10,1,1,,,,,
TV_AZT-CUL003-GA,7750,10.190.0.103,To-TVAZTECA-AAM,,3/1/10,xcme,IPMEAN-QG:1G,10.190.35.36/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
TV_AZT-CUL003-GA,7750,10.190.0.103,system,,,,,10.190.0.103/32,,1,1,,,,,
INDEPE-CUL002-GA,7750,10.190.0.104,To-CULIACAN-CBM,4,4/2/1,xgige,IPMEAN-QG:10G,10.190.34.45/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
INDEPE-CUL002-GA,7750,10.190.0.104,To-INDEPENDENCIA-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.35.38/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
INDEPE-CUL002-GA,7750,10.190.0.104,To-MXSINCUL0492RTBHCSRMOB03-S34,,lag-201,,,10.239.195.49/31,10,1,1,,,,,
INDEPE-CUL002-GA,7750,10.190.0.104,To-MXSINCUL0835RTBHCSRMOB01-S24,200,4/1/3,xgige,,10.239.195.33/31,10,1,1,default,,default,,
INDEPE-CUL002-GA,7750,10.190.0.104,To-MXSINCUL1061RTBHCSRMOB01-SC3,,lag-202,,,10.239.195.94/31,10,1,1,,,,,
INDEPE-CUL002-GA,7750,10.190.0.104,To-TVAZTECA-GAM,2,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.39/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
INDEPE-CUL002-GA,7750,10.190.0.104,system,,,,,10.190.0.104/32,,1,1,,,,,
CULGTA-IUSTB00921-WA,7750,10.190.0.105,To-CULIACAN-CAM,1,5/1/1,xgige,IPMEAN-QG:10G,10.190.34.87/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULGTA-IUSTB00921-WA,7750,10.190.0.105,To-CULIACAN-CBM,2,6/1/1,xgige,IPMEAN-QG:10G,10.190.34.93/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULGTA-IUSTB00921-WA,7750,10.190.0.105,To-GUAMUCHIL-WA-ATT,6,5/1/6,xgige,IPMEAN-QG:10G,10.170.34.81/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULGTA-IUSTB00921-WA,7750,10.190.0.105,To-MAZATLAN-WA-ATT,12,6/1/6,xgige,IPMEAN-QG:10G,10.170.34.75/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
CULGTA-IUSTB00921-WA,7750,10.190.0.105,system,,,,,10.190.0.105/32,,1,1,,,,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-DURANGO-GA,,3/1/1,xgige,IPMEAN-QG:10G,10.190.35.254/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-LCAMTX-BCS1003-CA,,4/1/6,xcme,IPMEAN-QG:1G,10.190.33.101/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-MAZATLAN-WAM02,4,2/1/3,xgige,IPMEAN-QG:10G,10.190.34.69/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-MTXMAZATLAN-AAM,,4/1/10,xcme,IPMEAN-QG:1G,10.190.35.66/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-SFP-ACCEDIAN-GESTION,,5/1/12,xcme,policer-output-queues,10.150.0.121/30,0,0,0,default,,default,,
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-SORIANAVALLEDORADO-GAF,3,1/1/2,xgige,IPMEAN-QG:10G,10.190.35.59/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZMTX-MAZ220-GA,7750,10.190.0.106,To-ZAPATA-GAM,2,1/1/5,xgige,IPMEAN-QG:10G,10.190.35.112/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZMTX-MAZ220-GA,7750,10.190.0.106,system,,,,,10.190.0.106/32,,1,1,,,,,
SOVADO-MAZ224-GA,7750,10.190.0.107,To-MTXMAZATLAN-GAF,3,5/2/1,xgige,IPMEAN-QG:10G,10.190.35.58/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
SOVADO-MAZ224-GA,7750,10.190.0.107,To-SORIANAVALLEDORADO-AAM,,3/1/10,xcme,IPMEAN-QG:1G,10.190.35.86/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
SOVADO-MAZ224-GA,7750,10.190.0.107,To-ZAPATA-GAM,4,1/1/1,xgige,IPMEAN-QG:10G,10.190.35.50/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
SOVADO-MAZ224-GA,7750,10.190.0.107,system,,,,,10.190.0.107/32,,1,1,,,,,
ZAPATA-MAZ222-GA,7750,10.190.0.108,To-MTXMAZATLAN-GAM,2,1/1/1,xgige,IPMEAN-QG:10G,10.190.35.113/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
ZAPATA-MAZ222-GA,7750,10.190.0.108,To-SORIANAVALLEDORADO-GAM,4,4/2/1,xgige,IPMEAN-QG:10G,10.190.35.51/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
ZAPATA-MAZ222-GA,7750,10.190.0.108,To-ZAPATA-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.35.88/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
ZAPATA-MAZ222-GA,7750,10.190.0.108,system,,,,,10.190.0.108/32,,1,1,,,,,
GUAYMA-GUY480-GA,7750,10.190.0.109,To-GUAYMAS-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.35.40/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
GUAYMA-GUY480-GA,7750,10.190.0.109,To-GUAYMAS-WAM01,1,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.237/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUAYMA-GUY480-GA,7750,10.190.0.109,To-HER-R10-EA,,1/1/4,xgige,IPMEAN-QG:10G,10.190.35.183/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUAYMA-GUY480-GA,7750,10.190.0.109,To-OBRMTX-CDO531-GA,,1/2/4,xgige,IPMEAN-QG:10G,10.190.35.184/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUAYMA-GUY480-GA,7750,10.190.0.109,system,,,,,10.190.0.109/32,,1,1,,,,,
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,To-ENSENADA-WA-ATT,8,5/1/6,xgige,IPMEAN-QG:10G,10.170.32.78/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,To-TECATE-WA-ATT,6,6/1/6,xgige,IPMEAN-QG:10G,10.170.32.96/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,To-TIJUANA-CAM,3,5/1/1,xgige,IPMEAN-QG:10G,10.190.32.1/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,To-TIJUANA-CBM,4,6/1/1,xgige,IPMEAN-QG:10G,10.190.32.7/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
TIJGTA-IUSTB00956-WA,7750,10.190.0.10,system,,,,,10.190.0.10/32,,1,1,,,,,
OBRMTX-CDO531-GA,7750,10.190.0.110,To-CDOBREGON-WAM01,1,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.163/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
OBRMTX-CDO531-GA,7750,10.190.0.110,To-GUAYMA-GUY480-GA,,5/1/1,xgige,IPMEAN-QG:10G,10.190.35.185/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
OBRMTX-CDO531-GA,7750,10.190.0.110,To-MTXCDOBREGON-AAM,,3/1/10,xcme,IPMEAN-QG:1G,10.190.35.44/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
OBRMTX-CDO531-GA,7750,10.190.0.110,To-MTXCDOBREGON-ABM,,3/1/9,xcme,IPMEAN-QG:1G,10.190.35.46/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
OBRMTX-CDO531-GA,7750,10.190.0.110,To-NAVOJO-NVJ468-GA,,1/1/5,xgige,IPMEAN-QG:10G,10.190.35.186/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
OBRMTX-CDO531-GA,7750,10.190.0.110,system,,,,,10.190.0.110/32,,1,1,,,,,
MAGIST-GML120-GA,7750,10.190.0.111,To-CULMTX-CUL011-CA,,1/2/4,xgige,IPMEAN-QG:10G,10.190.35.192/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAGIST-GML120-GA,7750,10.190.0.111,To-GUAMUCHIL-WAM02,2,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.111/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAGIST-GML120-GA,7750,10.190.0.111,To-MAGISTERIO-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.35.42/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
MAGIST-GML120-GA,7750,10.190.0.111,To-MOCMTX-LML169-GA,,1/1/4,xgige,IPMEAN-QG:10G,10.190.35.191/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAGIST-GML120-GA,7750,10.190.0.111,system,,,,,10.190.0.111/32,,1,1,,,,,
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,To-CULIACAN-WA-ATT,12,6/1/6,xgige,IPMEAN-QG:10G,10.170.34.74/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,To-JERONIMOORTIZ-WA-ATT,10,5/2/2,xgige,IPMEAN-QG:10G,10.170.34.50/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,To-MTXMAZATLAN-GAM02,4,5/1/1,xgige,IPMEAN-QG:10G,10.190.34.68/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,To-TEPICII-WA-ATT,8,5/1/6,xgige,IPMEAN-QG:10G,10.170.34.56/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MAZGTA-IUSTB00920-WA,7750,10.190.0.112,system,,,,,10.190.0.112/32,,1,1,,,,,
MOCMTX-LML169-GA,7750,10.190.0.113,To-LOSMOCHIS-WAM01,1,2/1/1,xgige,IPMEAN-QG:10G,10.190.34.117/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MOCMTX-LML169-GA,7750,10.190.0.113,To-MAGIST-GML120-GA,,3/1/2,xgige,IPMEAN-QG:10G,10.190.35.190/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MOCMTX-LML169-GA,7750,10.190.0.113,To-MTXMOCHIS-AAM,,4/1/10,xcme,IPMEAN-QG:1G,10.190.35.68/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
MOCMTX-LML169-GA,7750,10.190.0.113,To-NAVOJO-NVJ468-GA,,2/1/3,xgige,IPMEAN-QG:10G,10.190.35.189/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MOCMTX-LML169-GA,7750,10.190.0.113,To-VILLASDELSOL-GAM01,2,1/1/1,xgige,IPMEAN-QG:10G,10.190.35.70/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
MOCMTX-LML169-GA,7750,10.190.0.113,system,,,,,10.190.0.113/32,,1,1,,,,,
VILSOL-LML167-GA,7750,10.190.0.114,To-MTXMOCHIS-GAM01,2,1/1/1,xgige,IPMEAN-QG:10G,10.190.35.71/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
VILSOL-LML167-GA,7750,10.190.0.114,system,,,,,10.190.0.114/32,,1,1,,,,,
NAVOJO-NVJ468-GA,7750,10.190.0.115,To-MOCMTX-LML169-GA,,4/2/1,xgige,IPMEAN-QG:10G,10.190.35.188/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NAVOJO-NVJ468-GA,7750,10.190.0.115,To-NAVOJOA-AAM,,2/1/10,xcme,IPMEAN-QG:1G,10.190.35.82/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
NAVOJO-NVJ468-GA,7750,10.190.0.115,To-NAVOJOA-WAM01,1,1/1/1,,IPMEAN-QG:10G,10.190.34.140/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NAVOJO-NVJ468-GA,7750,10.190.0.115,To-OBRMTX-CDO531-GA,,4/1/4,xgige,IPMEAN-QG:10G,10.190.35.187/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NAVOJO-NVJ468-GA,7750,10.190.0.115,system,,,,,10.190.0.115/32,,1,1,,,,,
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,To-CDOBREGON-WA-ATT,6,3/1/1,xgige,IPMEAN-QG:10G,10.170.34.153/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,To-GUAYMAS-GAM01,1,1/1/1,xgige,IPMEAN-QG:10G,10.190.34.236/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,To-HERMOSILLO-WA-ATT,8,1/2/3,xgige,IPMEAN-QG:10G,10.170.34.170/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
GUYGTA-IUSTB00925-WA,7750,10.190.0.117,system,,,,,10.190.0.117/32,,1,1,,,,,
NOGALE-NOG001-GA,7750,10.190.0.118,To-HER-R10-EA-VIA_BESTEL,,2/1/5,xgige,IPMEAN-QG:10G,10.190.35.207/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NOGALE-NOG001-GA,7750,10.190.0.118,To-JUAMTX-JUA002-CA,,2/1/1,xgige,IPMEAN-QG:10G,10.190.35.173/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NOGALE-NOG001-GA,7750,10.190.0.118,To-MXSONNOG0771RTBHCSRMOB01-T01,202,1/2/5,xgige,,10.239.194.15/31,10,1,1,default,,default,,
NOGALE-NOG001-GA,7750,10.190.0.118,To-MXSONNOG0781RTBHCSRMOB01-T01,201,1/2/3,xgige,,10.239.194.0/31,10,1,1,default,,default,,
NOGALE-NOG001-GA,7750,10.190.0.118,To-MXSONNOG0783RTBHCSRMOB01-T02,203,1/2/4,xgige,,10.239.194.16/31,10,1,1,default,,default,,
NOGALE-NOG001-GA,7750,10.190.0.118,To-MXSONNOG0922RTBHCSRMOB01-T02,204,1/2/6,xgige,,10.239.194.27/31,10,1,1,default,,default,,
NOGALE-NOG001-GA,7750,10.190.0.118,To-NOGALES-AAM,,3/1/10,xcme,IPMEAN-QG:1G,10.190.35.84/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:1G
NOGALE-NOG001-GA,7750,10.190.0.118,To-NOGALES-WAE02,20,1/1/3,xgige,IPMEAN-QG:10G,10.190.34.234/31,0,1,1,7x50-IPMEAN_ntw_wred,PS-IPMEAN-network:unshaped,7x50-IPMEAN:standard,1000,IPMEAN-QG:10G
NOGALE-NOG001-GA,7750,10.190.0.118,system,,,,,10.190.0.118/32,,1,1,,,,,
